Compound.Type,Column,Compound.Name,Compound.Name_old,Compound.Name_figure,Compound.Name_SQL,QE.LinRange,QE.RF.ratio,QE.RSD,TQS.LinRange,TQS.RF.ratio,TQS.RSD,Emperical.Formula,RT..min.,m.z,ionization_form,z,C0,ChEBI,ChEBI_old,Fraction1,Fraction2,Liquid.Fraction,Conc..uM,HILICMix,Date.added,KEGGNAME,IUPAC.Name,InChI.Key.Name,Canon.SMILES.Name,Classyfire
Antioxidant,HILIC,Trehalose,Trehalose,Trehalose,Trehalose,100 - >10000,0.751,18.1,500 - >10000,1.046,8.4,C12H22O11,13,341.10839,[M-H],-1,cpd:C01083,NA,CHEBI:16551,HILICNeg,NA,Aq,4,Mix2,160401,"alpha,alpha-Trehalose; alpha,alpha'-Trehalose; Trehalose","(2R,3S,4S,5R,6R)-2-(hydroxymethyl)-6-[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxane-3,4,5-triol",HDTRYLNUVZCQOY-LIZSDCNHSA-N,C(C1C(C(C(C(O1)OC2C(C(C(C(O2)CO)O)O)O)O)O)O)O,kingdom: Organic_compounds; superclass: Organic_oxygen_compounds; class: Organooxygen_compounds; subclass: Carbohydrates_and_carbohydrate_conjugates; level 5: Glycosyl_compounds; level 6: O-glycosyl_compounds; level 7: O-glycosyl_compounds; level 8: O-glycosyl_compounds
Calvin cycle intermediate,HILIC,Dihydroxyacetone phosphate,DHAP,DHAP,Dihydroxyacetone phosphate,10000 - >10000,0.52,12.5,500 - >10000,0.921,15.8,C3H7O6P,12.86,168.990203,[M-H],-1,cpd:C00111,NA,CHEBI:16108,HILICNeg,NA,Aq,4,Mix2,160401,Glycerone phosphate; Dihydroxyacetone phosphate; 3-Hydroxy-2-oxopropyl phosphate,(3-hydroxy-2-oxopropyl) dihydrogen phosphate,GNGACRATGGDKBX-UHFFFAOYSA-N,C(C(=O)COP(=O)(O)O)O,kingdom: Organic_compounds; superclass: Organic_oxygen_compounds; class: Organooxygen_compounds; subclass: Carbohydrates_and_carbohydrate_conjugates; level 5: Monosaccharides; level 6: Monosaccharide_phosphates; level 7: Monosaccharide_phosphates; level 8: Monosaccharide_phosphates
Co-enzyme A,HILIC,Acetoacetyl-CoA,Acetoacetyl CoA,Acetoacetyl CoA,Acetoacetyl CoA,100 - >10000,dl,dl,100 - >10000,0.055,69.1,C25H40N7O18P3S,10.6,850.128524,[M-H],-1,cpd:C00332,NA,CHEBI:15345,HILICNeg,NA,Aq,4,Mix1,160401,Acetoacetyl-CoA; Acetoacetyl coenzyme A; 3-Acetoacetyl-CoA,"S-[2-[3-[[(2R)-4-[[[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethyl] 3-oxobutanethioate",OJFDKHTZOUZBOS-CITAKDKDSA-N,CC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O,kingdom: Organic_compounds; superclass: Lipids_and_lipid-like_molecules; class: Fatty_Acyls; subclass: Fatty_acyl_thioesters; level 5: Acyl_CoAs; level 6: 3-oxo-acyl_CoAs; level 7: 3-oxo-acyl_CoAs; level 8: 3-oxo-acyl_CoAs
Co-enzyme A,HILIC,Acetyl-CoA,Acetyl CoA,Acetyl-CoA,Acetyl CoA,20 - >10000,0.692,17.5,<10 - >10000,0.955,17.6,C23H38N7O17P3S,10.84,808.117959,[M-H],-1,cpd:C00024,NA,CHEBI:15351,HILICNeg,NA,Aq,4,Mix1,160401,Acetyl-CoA; Acetyl coenzyme A,"S-[2-[3-[[(2R)-4-[[[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethyl] ethanethioate",ZSLZBFCDCINBPY-ZSJPKINUSA-N,CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O,kingdom: Organic_compounds; superclass: Lipids_and_lipid-like_molecules; class: Fatty_Acyls; subclass: Fatty_acyl_thioesters; level 5: Acyl_CoAs; level 6: Acyl_CoAs; level 7: Acyl_CoAs; level 8: Acyl_CoAs
Co-enzyme A,HILIC,Crotonoyl-CoA,Crotonyl CoA,Crotonoyl-CoA,Crotonoyl CoA,100 - >10000,0.444,19.8,100 - >10000,0.761,16.8,C25H40N7O17P3S,8.45,834.133609,[M-H],-1,cpd:C00877,NA,CHEBI:15473,HILICNeg,NA,Aq,4,Mix1,160401,Crotonoyl-CoA; Crotonyl-CoA; 2-Butenoyl-CoA; trans-But-2-enoyl-CoA; But-2-enoyl-CoA; (E)-But-2-enoyl-CoA,"S-[2-[3-[[(2R)-4-[[[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethyl] (E)-but-2-enethioate",KFWWCMJSYSSPSK-PAXLJYGASA-N,CC=CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O,kingdom: Organic_compounds; superclass: Lipids_and_lipid-like_molecules; class: Fatty_Acyls; subclass: Fatty_acyl_thioesters; level 5: Enoyl_CoAs; level 6: 2-enoyl_CoAs; level 7: 2-enoyl_CoAs; level 8: 2-enoyl_CoAs
Co-enzyme A,HILIC,(S)-3-Hydroxybutyryl-CoA,Hydroxybutyryl CoA,Hydroxybutyryl CoA,Hydroxybutyryl CoA,100 - >10000,0.622,20.4,20 - >10000,1.021,22.2,C25H42N7O18P3S,11.545,852.144174,[M-H],-1,cpd:C01144,NA,CHEBI:15453,HILICNeg,NA,Aq,4,Mix1,160401,(S)-3-Hydroxybutanoyl-CoA; (S)-3-Hydroxybutyryl-CoA,"S-[2-[3-[[4-[[[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethyl] (3S)-3-hydroxybutanethioate",QHHKKMYHDBRONY-BEVJUKKNSA-N,CC(CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O,NA
Co-enzyme A,HILIC,Malonyl-CoA,Malonyl CoA,Malonyl-CoA,Malonyl CoA,100 - >10000,0.441,50,100 - >10000,0.281,10.7,C24H38N7O19P3S,13.525,852.107789,[M-H],-1,cpd:C00083,NA,CHEBI:15531,HILICNeg,NA,Aq,4,Mix1,160401,Malonyl-CoA; Malonyl coenzyme A,"3-[2-[3-[[(2R)-4-[[[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethylsulfanyl]-3-oxopropanoic acid",LTYOQGRJFJAKNA-DVVLENMVSA-N,CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)CC(=O)O)O,kingdom: Organic_compounds; superclass: Lipids_and_lipid-like_molecules; class: Fatty_Acyls; subclass: Fatty_acyl_thioesters; level 5: Acyl_CoAs; level 6: Acyl_CoAs; level 7: Acyl_CoAs; level 8: Acyl_CoAs
Co-enzyme A,HILIC,D-Methylmalonyl-CoA,Methyl Malonyl CoA,Methylmalonyl CoA,Methylmalonyl CoA,100 - >10000,0.625,17.5,20 - >10000,0.759,8.5,C25H40N7O19P3S,13.18,866.123439,[M-H],-1,cpd:C00683,NA,CHEBI:15466,HILICNeg,NA,Aq,4,Mix1,160401,(S)-Methylmalonyl-CoA; (S)-Methylmalonyl-coenzyme A; (2S)-Methylmalonyl-CoA; D-Methylmalonyl-CoA,"(2S)-3-[2-[3-[[(2R)-4-[[[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethylsulfanyl]-2-methyl-3-oxopropanoic acid",MZFOKIKEPGUZEN-IBNUZSNCSA-N,CC(C(=O)O)C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O,kingdom: Organic_compounds; superclass: Lipids_and_lipid-like_molecules; class: Fatty_Acyls; subclass: Fatty_acyl_thioesters; level 5: Acyl_CoAs; level 6: Acyl_CoAs; level 7: Acyl_CoAs; level 8: Acyl_CoAs
Co-enzyme A,HILIC,Propionyl-CoA,Propionyl CoA,Propionyl-CoA,Propionyl CoA,100 - >10000,0.527,20.5,20 - >10000,0.957,18,C24H40N7O17P3S,8.83,822.133609,[M-H],-1,cpd:C00100,NA,CHEBI:15539,HILICNeg,NA,Aq,4,Mix1,160401,Propanoyl-CoA; Propionyl-CoA; Propionyl coenzyme A,NA,NA,NA,NA
Co-enzyme A,HILIC,Succinyl-CoA,Succinyl CoA,Succinyl-CoA,Succinyl CoA,100 - >10000,0.637,17.5,20 - >10000,0.968,21.2,C25H40N7O19P3S,12.965,866.123439,[M-H],-1,cpd:C00091,NA,CHEBI:15380,HILICNeg,NA,Aq,4,Mix1,160401,Succinyl-CoA; Succinyl coenzyme A,"4-[2-[3-[[(2R)-4-[[[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethylsulfanyl]-4-oxobutanoic acid",VNOYUJKHFWYWIR-ITIYDSSPSA-N,CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)CCC(=O)O)O,kingdom: Organic_compounds; superclass: Lipids_and_lipid-like_molecules; class: Fatty_Acyls; subclass: Fatty_acyl_thioesters; level 5: Acyl_CoAs; level 6: Acyl_CoAs; level 7: Acyl_CoAs; level 8: Acyl_CoAs
Energy charge,HILIC,Adenosine diphosphate,ADP,ADP,Adenosine diphosphate,100 - >10000,0.23,26.4,100 - >10000,1.108,17,C10H15N5O10P2,12.09,426.021596,[M-H],-1,cpd:C00008,NA,CHEBI:16761,HILICNeg,NA,Aq,4,Mix2,160401,ADP; Adenosine 5'-diphosphate,"[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methyl phosphono hydrogen phosphate",XTWYTFMLZFPYCI-KQYNXXCUSA-N,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)O)O)O)N,kingdom: Organic_compounds; superclass: Nucleosides_nucleotides_and_analogues; class: Purine_nucleotides; subclass: Purine_ribonucleotides; level 5: Purine_ribonucleoside_diphosphates; level 6: Purine_ribonucleoside_diphosphates; level 7: Purine_ribonucleoside_diphosphates; level 8: Purine_ribonucleoside_diphosphates
Energy charge,HILIC,Adenosine monophosphate,AMP,AMP,Adenosine monophosphate,100 - >10000,0.813,11.2,100 - >10000,1.035,8.4,C10H14N5O7P,11.585,346.055262,[M-H],-1,cpd:C00020,NA,CHEBI:16027,HILICNeg,NA,Aq,4,Mix2,160401,AMP; Adenosine 5'-monophosphate; Adenylic acid; Adenylate; 5'-AMP; 5'-Adenylic acid; 5'-Adenosine monophosphate; Adenosine 5'-phosphate,"[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methyl dihydrogen phosphate",UDMBCSSLTHHNCD-KQYNXXCUSA-N,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)O)O)O)N,kingdom: Organic_compounds; superclass: Nucleosides_nucleotides_and_analogues; class: Purine_nucleotides; subclass: Purine_ribonucleotides; level 5: Purine_ribonucleoside_monophosphates; level 6: Purine_ribonucleoside_monophosphates; level 7: Purine_ribonucleoside_monophosphates; level 8: Purine_ribonucleoside_monophosphates
Energy charge,HILIC,Adenosine triphosphate,ATP,ATP,Adenosine triphosphate,500 - >10000,0.209,75.8,100 - >10000,3.608,23.1,C10H16N5O13P3,15.35,505.987929,[M-H],-1,cpd:C00002,NA,CHEBI:15422,HILICNeg,NA,Aq,4,Mix2,160401,ATP; Adenosine 5'-triphosphate,"[[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] phosphono hydrogen phosphate",ZKHQWZAMYRWXGA-KQYNXXCUSA-N,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N,kingdom: Organic_compounds; superclass: Nucleosides_nucleotides_and_analogues; class: Purine_nucleotides; subclass: Purine_ribonucleotides; level 5: Purine_ribonucleoside_triphosphates; level 6: Purine_ribonucleoside_triphosphates; level 7: Purine_ribonucleoside_triphosphates; level 8: Purine_ribonucleoside_triphosphates
Energy charge,HILIC,Guanosine monophosphate,GMP,GMP,Guanosine monophosphate,100 - >10000,0.248,28.8,100 - >10000,0.577,13,C10H14N5O8P,13.85,362.050178,[M-H],-1,cpd:C00144,NA,CHEBI:17345,HILICNeg,NA,Aq,4,Mix2,160401,GMP; Guanosine 5'-phosphate; Guanosine monophosphate; Guanosine 5'-monophosphate; Guanylic acid,"[(2R,3S,4R,5R)-5-(2-amino-6-oxo-1H-purin-9-yl)-3,4-dihydroxyoxolan-2-yl]methyl dihydrogen phosphate",RQFCJASXJCIDSX-UUOKFMHZSA-N,C1=NC2=C(N1C3C(C(C(O3)COP(=O)(O)O)O)O)N=C(NC2=O)N,kingdom: Organic_compounds; superclass: Nucleosides_nucleotides_and_analogues; class: Purine_nucleotides; subclass: Purine_ribonucleotides; level 5: Purine_ribonucleoside_monophosphates; level 6: Purine_ribonucleoside_monophosphates; level 7: Purine_ribonucleoside_monophosphates; level 8: Purine_ribonucleoside_monophosphates
Energy charge,HILIC,Guanosine triphosphate,GTP,GTP,Guanosine triphosphate,100 - >10000,0.493,92.4,500 - >10000,1.978,20.5,C10H16N5O14P3,16.58,521.982844,[M-H],-1,cpd:C00044,NA,CHEBI:15996,HILICNeg,NA,Aq,4,Mix2,160401,GTP; Guanosine 5'-triphosphate,"[[(2R,3S,4R,5R)-5-(2-amino-6-oxo-1H-purin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] phosphono hydrogen phosphate",XKMLYUALXHKNFT-UUOKFMHZSA-N,C1=NC2=C(N1C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N=C(NC2=O)N,kingdom: Organic_compounds; superclass: Nucleosides_nucleotides_and_analogues; class: Purine_nucleotides; subclass: Purine_ribonucleotides; level 5: Purine_ribonucleoside_triphosphates; level 6: Purine_ribonucleoside_triphosphates; level 7: Purine_ribonucleoside_triphosphates; level 8: Purine_ribonucleoside_triphosphates
Glycine metabolite,HILIC,Sarcosine,Sarcosine,Sarcosine,Sarcosine,1000 - >10000,0.628,28,20 - 1000,0.397,5.8,C3H7NO2,10.6,90.055504,[M+H],1,cpd:C00213,NA,CHEBI:15611,HILICPos,NA,Aq,4,Mix2,160401,Sarcosine; N-Methylglycine,2-(methylamino)acetic acid,FSYKKLYZXJSNPZ-UHFFFAOYSA-N,CNCC(=O)O,kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Carboxylic_acids_and_derivatives; subclass: Amino_acids_peptides_and_analogues; level 5: Amino_acids_and_derivatives; level 6: Alpha_amino_acids_and_derivatives; level 7: Alpha_amino_acids; level 8: Alpha_amino_acids
Internal Standard,HILIC,"Acetyl-CoA, 13C2","Acetyl CoA, 13C2","Acetyl-CoA, 13C2",Acetyl CoA 13C2,NA,NA,NA,NA,NA,NA,C21C(13)2H38N7O17P3S,10.84,810.1252,[M-H],-1,NA,NA,NA,HILICNeg,NA,Aq,1,NA,160401,NA,NA,NA,NA,NA
Internal Standard,HILIC,"AMP, 15N5","Adenosine Monophosphate, 15N5","AMP, 15N5",AMP 15N5,NA,NA,NA,NA,NA,NA,C10H13N(15)5O7P,11.585,351.0411,[M-H],-1,NA,NA,NA,HILICNeg,NA,Aq,5,NA,170301,NA,NA,NA,NA,NA
Internal Standard,HILIC,"DL-Alanine, 2H3","DL-Alanine, D3","DL-Alanine, 2H3",DL Alanine 2H3,NA,NA,NA,NA,NA,NA,C3H4D3NO2,11.3,93.0738,[M+H],1,NA,NA,NA,HILICPos,NA,Aq,5,NA,160401,NA,NA,NA,NA,NA
Internal Standard,HILIC,"DL-Histidine, 15N","DL-Histidine, 15N","DL-Histidine, 15N",DL Histidine 15N,NA,NA,NA,NA,NA,NA,C6H9N3N(15)O2,11.45,157.0738,[M+H],1,NA,NA,NA,HILICPos,NA,Aq,2.5,NA,160401,NA,NA,NA,NA,NA
Internal Standard,HILIC,"DL-Proline, 2H7","DL-Proline, D7","DL-Proline, 2H7",DL Proline 2H7,NA,NA,NA,NA,NA,NA,C5H3D7NO2,9.49,123.1145,[M+H],1,NA,NA,NA,HILICPos,NA,Aq,1,NA,170301,NA,NA,NA,NA,NA
Internal Standard,HILIC,"DL-Valine, 2H8","DL-Valine, D8","DL-Valine, 2H8",DL Valine 2H8,NA,NA,NA,NA,NA,NA,C5H4D8NO2,9.09,126.1365,[M+H],1,NA,NA,NA,HILICPos,NA,Aq,1,NA,170301,NA,NA,NA,NA,NA
Internal Standard,HILIC,"GMP, 15N5","Guanosine Monophosphate, 15N5","GMP, 15N5",GMP 15N5,NA,NA,NA,NA,NA,NA,C10H13N(15)5O8P,13.85,367.0364,[M-H],-1,NA,NA,NA,HILICNeg,NA,Aq,2,NA,170301,NA,NA,NA,NA,NA
Internal Standard,HILIC,"Isethionic acid, 13C2","Isethionic Acid, 13C2","Isethionic acid, 13C2",Isethionic acid 13C2,NA,NA,NA,NA,NA,NA,C(13)2H6O4S,7.2,126.9981,[M-H],-1,NA,NA,NA,HILICNeg,NA,Aq,0.5,NA,160401,NA,NA,NA,NA,NA
Internal Standard,HILIC,"L-Cysteic acid, 2H3","L-Cysteic Acid, D3","L-Cysteic acid, 2H3",L Cysteic acid 2H3,NA,NA,NA,NA,NA,NA,C3D3H4NO5S,12.15,171.0161,[M-H],-1,NA,NA,NA,HILICNeg,NA,Aq,1,NA,160401,NA,NA,NA,NA,NA
Internal Standard,HILIC,"L-Isoleucine, 15N","L-Isoleucine, 15N","L-Isoleucine, 15N",L Isoleucine 15N,NA,NA,NA,NA,NA,NA,C6H13N(15)O2,8.17,133.0989,[M+H],1,NA,NA,NA,HILICPos,NA,Aq,0.5,NA,160401,NA,NA,NA,NA,NA
Internal Standard,HILIC,"L-Methionine, 2H3","L-Methionine, D3","L-Methionine, 2H3",L Methionine 2H3,NA,NA,NA,NA,NA,NA,C5D3H8NO2S,7.96,153.0771,[M+H],1,NA,NA,NA,HILICPos,NA,Aq,1,NA,160401,NA,NA,NA,NA,NA
Internal Standard,HILIC,"Succinic acid, 2H4","Succinic Acid, D4","Succinic acid, 2H4",Succinic acid 2H4,NA,NA,NA,NA,NA,NA,C4D4H2O4,11.9,121.0444,[M-H],-1,NA,NA,NA,HILICNeg,NA,Aq,10,NA,160401,NA,NA,NA,NA,NA
Internal Standard,HILIC,"Sucrose, 13C","Sucrose, 13C","Sucrose, 13C",Sucrose 13C,NA,NA,NA,NA,NA,NA,C(13)12H22O11,11.77,353.1497,[M-H],-1,NA,NA,NA,HILICNeg,NA,Aq,5,NA,170601,NA,NA,NA,NA,NA
Internal Standard,HILIC,"Sulfoacetic acid, 13C2","Sulfoacetic Acid, 13C2","Sulfoacetic acid, 13C2",Sulfoacetic acid 13C2,NA,NA,NA,NA,NA,NA,C(13)2H4O5S,13.9,140.9774,[M-H],-1,NA,NA,NA,HILICNeg,NA,Aq,2.5,NA,160401,NA,NA,NA,NA,NA
Internal Standard,HILIC,"3-Sulfolactate, 13C3","Sulfolactic Acid, 13C3","3-Sulfolactate, 13C3",Sulfolactate 13C3,NA,NA,NA,NA,NA,NA,C(13)2H5O4S,13.27,171.9913,[M-H],-1,NA,NA,NA,HILICNeg,NA,Aq,1,NA,160401,NA,NA,NA,NA,NA
Internal Standard,HILIC,"Taurine, 2H4","Taurine, D4","Taurine, 2H4",Taurine 2H4,NA,NA,NA,NA,NA,NA,C2D4H3NO3S,10,128.0325,[M-H],-1,NA,NA,NA,HILICNeg,NA,Aq,1,NA,160401,NA,NA,NA,NA,NA
Internal Standard,HILIC,"Trehalose, 13C","Trehalose, 13C","Trehalose, 13C",Trehalose 13C,NA,NA,NA,NA,NA,NA,C(13)12H22O11,12.63,353.1497,[M-H],-1,NA,NA,NA,HILICNeg,NA,Aq,5,NA,170601,NA,NA,NA,NA,NA
Internal Standard,HILIC,"Glycine betaine, 13C5, 15N","Betaine, 13C5-15N","Glycine betaine, 13C5, 15N",Glycine betaine 13C5 15N,NA,NA,NA,NA,NA,NA,C(13)5H11N(15)O2,7.27,124.1006,[M+H],1,NA,NA,NA,HILICPos,NA,Aq,1,NA,190514,NA,NA,NA,NA,NA
Internal Standard,HILIC,"Adenine, 15N2","Adenine, 15N2","Adenine, 15N2",Adenine 15N2,NA,NA,NA,NA,NA,NA,C5H5N(15)2N3,4.64,138.0564,[M+H],1,NA,NA,NA,HILICPos,NA,Aq,1,NA,190514,NA,NA,NA,NA,NA
Internal Standard,HILIC,"Cytosine, 13C2, 15N3","Cytosine, 13C2-15N3","Cytosine, 13C2, 15N3",Cytosine 13C2 15N3,NA,NA,NA,NA,NA,NA,C(13)2C2H5N(15)3O,6.82,117.0489,[M+H],1,NA,NA,NA,HILICPos,NA,Aq,2,NA,190514,NA,NA,NA,NA,NA
Internal Standard,HILIC,"Guanine, 13C, 15N2","Guanine, 13C-15N2","Guanine, 13C, 15N2",Guanine 13C 15N2,NA,NA,NA,NA,NA,NA,C(13)C4H5N(15)2N3O,8.18,155.0547,[M+H],1,NA,NA,NA,HILICPos,NA,Aq,2,NA,190514,NA,NA,NA,NA,NA
Internal Standard,HILIC,"Thymine, 2H4","Thymine, D4","Thymine, 2H4",Thymine 2H4,NA,NA,NA,NA,NA,NA,C5D4H2N2O2,3.06,129.0602,[M-H],-1,NA,NA,NA,HILICNeg,NA,Aq,6,NA,190514,NA,NA,NA,NA,NA
Internal Standard,HILIC,"Uracil, 15N2, 2H2","Uracil, 15N2-D2","Uracil, 15N2, 2H2",Uracil 15N2 2H2,NA,NA,NA,NA,NA,NA,C4D2H2N(15)2O2,3.73,115.0261,[M-H],-1,NA,NA,NA,HILICNeg,NA,Aq,8,NA,190514,NA,NA,NA,NA,NA
Internal Standard,HILIC,"Arsenobetaine, 13C2","Arsenobetaine, 13C2","Arsenobetaine, 13C2",Arsenobetaine 13C2,NA,NA,NA,NA,NA,NA,C(13)2C3H12AsO2,7.24,181.0114,[M+H],1,NA,NA,NA,HILICPos,NA,Aq,1,NA,190715,NA,NA,NA,NA,NA
Internal Standard,HILIC,"Homarine, 2H3","Homarine, 2H3","Homarine, 2H3",Homarine 2H3,NA,NA,NA,NA,NA,NA,C7D3H4NO2,6.19,141.0743,[M+H],1,NA,NA,NA,HILICPos,NA,Aq,4,NA,191017,NA,NA,NA,NA,NA
Intracellular signaling,HILIC,"3',5'-Cyclic AMP",cAMP,cAMP,cAMP,100 - >10000,0.661,18.7,<10 - 1000,0.859,6.7,C10H12N5O6P,4.06,328.044698,[M-H],-1,cpd:C00575,NA,CHEBI:17489,HILICNeg,NA,Aq,4,Mix2,160401,"3',5'-Cyclic AMP; Cyclic adenylic acid; Cyclic AMP; Adenosine 3',5'-phosphate; Adenosine 3',5'-cyclic phosphate; cAMP","(4aR,6R,7R,7aS)-6-(6-aminopurin-9-yl)-2-hydroxy-2-oxo-4a,6,7,7a-tetrahydro-4H-furo[3,2-d][1,3,2]dioxaphosphinin-7-ol",IVOMOUWHDPKRLL-KQYNXXCUSA-N,C1C2C(C(C(O2)N3C=NC4=C(N=CN=C43)N)O)OP(=O)(O1)O,NA
Intracellular signaling,HILIC,"3',5'-Cyclic GMP",cGMP,cGMP,cGMP,20 - >10000,0.598,19.1,<10 - >10000,0.822,6.4,C10H12N5O7P,8.8,344.039613,[M-H],-1,cpd:C00942,NA,CHEBI:16356,HILICNeg,NA,Aq,4,Mix2,160401,"3',5'-Cyclic GMP; Guanosine 3',5'-cyclic monophosphate; Guanosine 3',5'-cyclic phosphate; Cyclic GMP; cGMP","9-[(4aR,6R,7R,7aS)-7-hydroxy-2-oxido-2-oxo-4a,6,7,7a-tetrahydro-4H-furo[3,2-d][1,3,2]dioxaphosphinin-6-yl]-2-amino-1H-purin-6-one",ZOOGRGPOEVQQDX-UUOKFMHZSA-M,C1C2C(C(C(O2)N3C=NC4=C3N=C(NC4=O)N)O)OP(=O)(O1)[O-],NA
Intracellular signaling,HILIC,"3',5'-Cyclic diGMP",Cyclic diGMP,Cyclic diGMP,Cyclic diGMP,100 - >10000,0.776,13.3,20 - >10000,0.886,15.8,C20H24N10O14P2,13.74,689.087051,[M-H],-1,cpd:C16463,NA,CHEBI:49537,HILICNeg,NA,Aq,4,Mix2,160401,"3',5'-Cyclic diGMP; cdiGMP; 3',5'-Cyclic diguanylic acid; Bis-(3',5')-cyclic diGMP; Cyclic di-3',5'-guanylate","2-amino-9-[(1S,6R,8R,9R,10S,15R,17R,18R)-17-(2-amino-6-oxo-1H-purin-9-yl)-3,9,12,18-tetrahydroxy-3,12-dioxo-2,4,7,11,13,16-hexaoxa-3Î»5,12Î»5-diphosphatricyclo[13.3.0.06,10]octadecan-8-yl]-1H-purin-6-one",PKFDLKSEZWEFGL-MHARETSRSA-N,C1C2C(C(C(O2)N3C=NC4=C3N=C(NC4=O)N)O)OP(=O)(OCC5C(C(C(O5)N6C=NC7=C6N=C(NC7=O)N)O)OP(=O)(O1)O)O,NA
Lignin,HILIC,"2,5-Dihydroxybenzoic acid",Resorcylic Acid,Resorcylic acid,Resorcylic acid,500 - >10000,0.745,7.2,20 - >10000,0.969,2.8,C7H6O4,4.08,153.018785,[M-H],-1,cpd:C00628,CHEBI:17189,CHEBI:58044,HILICNeg,NA,Aq,4.8,Mix2,160401,"2,5-Dihydroxybenzoate; 2,5-Dihydroxybenzoic acid; Gentisic acid; Hydroquinonecarboxylic acid; Gentisate","2,5-dihydroxybenzoic acid",WXTMDXOMEHJXQO-UHFFFAOYSA-N,C1=CC(=C(C=C1O)C(=O)O)O,NA
